compound_id|flavor_id|flavor_name
15487|250|wood
15491|610|mild
15491|679|pleasant
15498|17|oily
15498|29|jasmine
15498|33|floral
15498|48|melon
15498|162|fresh
15498|180|magnolia
15498|672|petal
15498|848|waxy
15499|40|chocolate
15499|67|musty
15499|98|nutty
15499|131|burnt
15499|140|cocoa
15499|141|coffee
15499|562|lard
15499|780|soybean
15503|123|bitter
15514|18|fatty
15514|44|sweet
15514|49|orange
15514|50|citrus
15514|59|green
15514|162|fresh
15515|3|cucumber
15515|17|oily
15515|48|melon
15515|50|citrus
15515|157|fat
15515|163|fried
15515|184|meat
15515|197|nut
15515|246|wax
15515|691|pumpkin
15516|18|fatty
15516|25|geranium
15516|59|green
15516|157|fat
15516|163|fried
15516|848|waxy
15517|15|creamy
15517|44|sweet
15517|59|green
15517|69|apple
15517|81|fruity
15517|84|pear
15517|814|tropical
15517|848|waxy
15530|14|cheese
15530|21|spicy
15530|95|sulfurous
15530|103|minty
15530|141|coffee
15530|310|beefy
15531|57|meaty
15531|75|coconut
15531|107|fishy
15531|184|meat
15531|605|metallic
15531|790|sulfury
15539|123|bitter
15547|15|creamy
15547|20|coumarin
15547|41|cinnamon
15547|44|sweet
15547|75|coconut
15547|96|almond
15547|102|tobacco
15547|531|herbal
15547|812|tonka
15556|123|bitter
15557|643|odorless
15558|123|bitter
15565|250|wood
15571|33|floral
15571|34|rose
15572|44|sweet
15572|59|green
15572|81|fruity
15572|103|minty
15572|531|herbal
15572|814|tropical
15574|21|spicy
15574|172|herb
15574|247|weak spice
15574|531|herbal
15575|37|balsam
15575|68|earthy
15575|643|odorless
15602|17|oily
15602|54|woody
15602|210|pine
15612|54|woody
15612|236|tea
15612|245|warm
15612|250|wood
15633|123|bitter
15637|643|odorless
15657|54|woody
15673|21|spicy
15673|54|woody
15673|68|earthy
15673|154|earth
15730|15|creamy
15730|18|fatty
15730|75|coconut
15730|81|fruity
15730|83|peach
15730|848|waxy
15736|21|spicy
15736|44|sweet
15736|54|woody
15736|162|fresh
15736|172|herb
15736|229|spice
15736|453|dry
15740|9|clove
15740|44|sweet
15740|54|woody
15740|229|spice
15740|250|wood
15740|453|dry
15741|21|spicy
15741|54|woody
15741|250|wood
15757|57|meaty
15757|107|fishy
15757|141|coffee
15757|224|smoke
15757|273|alliaceous
15757|711|roasted
15757|790|sulfury
15769|33|floral
15769|54|woody
15769|68|earthy
15769|81|fruity
15770|81|fruity
15772|33|floral
15772|35|violet
15772|37|balsam
15772|44|sweet
15772|54|woody
15772|531|herbal
15772|814|tropical
15775|21|spicy
15775|54|woody
15775|59|green
15775|102|tobacco
15775|176|leaf
15775|236|tea
15775|531|herbal
15775|605|metallic
15775|851|wet
15776|27|hyacinth
15776|58|leafy
15776|59|green
15776|531|herbal
15776|703|reseda
15780|37|balsam
15780|44|sweet
15780|54|woody
15780|277|amber
15780|403|clary
15780|850|weedy
15785|33|floral
15786|44|sweet
15786|278|ambergris
15786|453|dry
15786|559|labdanum
15786|644|old paper
15791|123|bitter
15792|123|bitter
15810|226|solvent
15810|449|diterpene
15810|586|low
15818|123|bitter
15819|123|bitter
15820|123|bitter
15837|37|balsam
15837|652|oriental
15872|42|honey
15872|44|sweet
15872|64|rum
15872|81|fruity
15873|33|floral
15873|44|sweet
15873|72|berry
15873|77|grape
15873|81|fruity
15873|86|plum
15873|249|wine
15873|673|petitgrain
15873|684|powdery
15874|39|caramel
15874|79|jam
15874|81|fruity
15904|123|bitter
15947|283|ammoniacal
15947|610|mild
15972|179|lilac
15972|802|terpineol
15973|44|sweet
15973|50|citrus
15973|54|woody
15973|94|plastic
15973|162|fresh
15973|210|pine
15974|46|lemon
15974|50|citrus
15974|54|woody
15974|101|camphoraceous
15974|105|medicinal
15974|531|herbal
15974|800|terpene
15975|17|oily
15975|46|lemon
15975|47|lime
15975|54|woody
15975|123|bitter
15975|166|gasoline
15975|242|turpentine
